====================================================================================================
GABA SANITARY SPECIALIST — MASTER PRODUCT & CODE TRACKING SHEET
====================================================================================================
Generated for Catalog Management, WhatsApp Inquiries & Inventory
Website Reference: http://localhost:5173/ | Mobile Web App: http://localhost:5173/app
====================================================================================================

CODE     | ITEM NAME                            | SIZES / DIMENSIONS                   | PACKET / BUNDLE OPTIONS             | MATERIAL & SPECIFICATIONS
---------+--------------------------------------+--------------------------------------+-------------------------------------+---------------------------------------------------------
GTC001   | Brass Nozzel Cock                    | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Solid Brass Body, Approx Wt: 190g, Heavy Spindle
GTC002   | CI Nozzel Cock                       | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Cast Iron Body, Brass Inner Disc, Heavy Handle Patti
GTC003   | CI Nozzel Cock (Jumper Valve)        | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Cast Iron Body, Precision Brass Jumper Valve
GTC004   | CI Nozzel Cock (Round Handle)        | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Cast Iron Body, Brass Inner Parts, Ergonomic Round Knob
GTC005   | C P Nozzel Cock                      | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Heavy Chrome Plated Brass/Alloy, High Mirror Polish
GTC006   | CI CP Long Body Tap                  | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Extended Long Spout, Brass Inner Disc, Chrome Finished
GTC007   | CI CP Pillar Cock                    | 1/2" (15mm)                          | 1 Pc, 10 Pcs Pkt, 50 Pcs Box        | Deck/Basin Mounted Pillar Tap, Brass Inner Disc
GTC008   | Premium PVC Bib Cock (Short Body)    | 15mm (1/2")                          | 10 Pcs Pkt, 50 Pcs Pkt              | High Grade Virgin PVC, Smooth Blue Knob, Leak-proof
GTC009   | Premium PVC Bib Cock (Long Body)     | 15mm (1/2")                          | 10 Pcs Pkt, 50 Pcs Pkt              | Extended Reach PVC Body, Heavy Seal Flange Included
GTC010   | Premium PVC Nozzel Cock (Short Body) | 15mm (1/2")                          | 10 Pcs Pkt, 50 Pcs Pkt              | Hose Barb/Nozzle Spout, Heavy Grade PVC, Blue Turn Handle
GTC011   | A2 Lite Disc Spindle                 | 1/2"                                 | 20 Pcs Pkt, 50 Pcs Pkt              | Brass Spindle Valve Core, Weight: 40 grams
GTC012   | A2 Heavy Disc Spindle                | 1/2"                                 | 20 Pcs Pkt, 50 Pcs Pkt              | Extra Heavy Brass Spindle Valve Core, Weight: 46 grams
GTC013   | S.S Connection Pipe (Braided)        | 18", 24", 30", 36"                   | 10 Pcs Pkt, 25 Pcs Pkt, 50 Pcs Box  | High-Tensile SS 304 Braid, Chrome Plated Nuts & Washers
GTC014   | Hex Nipple (SS 304)                  | 1/2"                                 | 25 Pcs Pkt, 50 Pcs Pkt, 100 Pcs Box | 100% Grade 304 Stainless Steel, CNC Threaded Hexagon
GTC015   | Jet Spray (Regular Fitting)          | Standard Fitting                     | 1 Pc, 10 Pcs Pkt                    | Stainless Steel Flexible Hose, Ergonomic Jet Wand & Clamp
GTC016   | Jet Spray (One Piece Fitting)        | One Piece Heavy                      | 1 Pc, 10 Pcs Pkt                    | Heavy One-Piece SS Design with Reinforced Braided Hose
GTC017   | Overhead Shower (Ultra Slim)         | 4", 6", 8" Square                    | 1 Pc, 5 Pcs Box, 20 Pcs Master      | Ultra Slim Mirror Finish SS 304, Self-cleaning Nozzles
GTC018   | Overhead Shower (Amaze Design)       | 6", 8" Geometric Pattern             | 1 Pc, 5 Pcs Box, 20 Pcs Master      | Maze Water Distribution Channels, SS 304 Construction
